frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
32,29.4118,2,145,"[-257.705, 235.286, 1858.55]","[-287.465, 64.8404, 1783.03]","[-315.8, 64.5788, 1641.2]","[-320.084, -148.52, 1494.32]","[-236.655, -394.789, 1364.19]","[-273.143, 18.3837, 1977.96]","[-203.646, -186.546, 1823.37]","[-119.951, -437.55, 1686.53]","[-261.295, -137.51, 1667.22]","[-256.216, -319.018, 1598.76]","[-359.882, -388.189, 1536.02]","[-353.728, -785.7, 1539.64]","[-353.728, -1159.67, 1539.64]","[-142.819, -394.866, 1596.21]","[-138.94, -792.262, 1601.89]","[-138.94, -1166.23, 1601.89]","[-250.617, -353.91, 1385.87]","[-133.903, -395.715, 1709.33]","[-296.406, 133.957, 1822.58]","[0, 0, 0]"
32,29.4118,2,44,"[795.514, 129.318, 2251.19]","[823.249, -30.8249, 2158.32]","[681.036, -96.0442, 2225.66]","[493.618, -88.9152, 2037.58]","[725.308, -68.1484, 1862.78]","[889.9, 8.73996, 2011.58]","[947.865, -245.397, 1960.56]","[688.972, -114.114, 1940.44]","[829.169, -243.517, 2049.7]","[842.817, -412.563, 2000.03]","[768.594, -557.688, 1997.07]","[768.594, -954.597, 1997.07]","[768.594, -1327.95, 1997.07]","[938.891, -523.185, 1929.78]","[834.103, -806.838, 1672.68]","[834.103, -1180.19, 1672.68]","[686.693, -71.6095, 1891.92]","[732.121, -135.994, 1943.79]","[821.266, 40.4049, 2194.69]","[0, 0, 0]"
33,31.25,2,145,"[-242.817, 234.587, 1859.22]","[-277.164, 63.5463, 1788.26]","[-302.783, 65.2242, 1643.64]","[-303.124, -139.449, 1477.85]","[-220.768, -398.236, 1360.46]","[-253.648, 19.3496, 1979.89]","[-179.998, -186.575, 1828.31]","[-106.09, -441.04, 1691.92]","[-250.635, -140.897, 1679.79]","[-245.973, -321.519, 1609.04]","[-348.392, -388.387, 1543.11]","[-341.377, -786.21, 1546.69]","[-341.377, -1160.14, 1546.69]","[-132.716, -395.148, 1606.32]","[-127.072, -793.088, 1612.63]","[-127.072, -1167.02, 1612.63]","[-234.511, -355.161, 1380.03]","[-118.411, -398.629, 1714.65]","[-286.29, 133.85, 1825.54]","[0, 0, 0]"
33,31.25,2,44,"[793.687, 126.686, 2255.49]","[821.732, -32.8384, 2161.16]","[681.046, -100.225, 2220.47]","[486.646, -101.097, 2042.68]","[717.282, -74.6919, 1867.7]","[886.23, 7.25797, 2014.26]","[947.384, -245.749, 1962.0]","[687.26, -118.206, 1937.94]","[827.896, -244.542, 2050.72]","[841.905, -413.758, 2000.69]","[767.921, -559.64, 1995.51]","[764.56, -966.254, 1987.73]","[764.56, -1339.61, 1987.73]","[937.453, -525.185, 1929.29]","[835.794, -811.549, 1674.18]","[844.276, -1208.56, 1681.65]","[678.843, -79.0923, 1896.87]","[730.614, -139.458, 1941.95]","[819.669, 38.0628, 2198.15]","[0, 0, 0]"
34,29.4118,2,145,"[-227.422, 232.489, 1860.09]","[-266.27, 61.9311, 1794.99]","[-292.391, 65.2152, 1647.13]","[-294.698, -139.71, 1477.89]","[-201.594, -391.611, 1351.04]","[-224.265, 20.354, 1978.88]","[-152.628, -187.032, 1828.3]","[-90.1797, -446.676, 1696.93]","[-239.878, -146.283, 1695.78]","[-235.648, -326.448, 1623.88]","[-336.126, -388.166, 1555.43]","[-328.692, -785.461, 1563.66]","[-328.692, -1159.34, 1563.66]","[-123.67, -396.405, 1624.06]","[-118.888, -794.971, 1636.53]","[-118.888, -1168.85, 1636.53]","[-217.129, -349.64, 1372.18]","[-100.592, -403.403, 1718.83]","[-275.374, 133.746, 1829.2]","[0, 0, 0]"
34,29.4118,2,44,"[784.469, 114.521, 2271.98]","[816.104, -39.7493, 2170.44]","[683.236, -112.14, 2200.55]","[583.047, -191.399, 2088.65]","[682.567, -237.692, 1962.55]","[872.894, -2.04949, 2022.49]","[945.09, -249.159, 1965.37]","[680.354, -140.726, 1926.39]","[823.038, -248.302, 2054.44]","[838.171, -418.411, 2003.13]","[765.3, -566.333, 1996.5]","[760.182, -976.313, 1998.44]","[760.182, -1349.67, 1998.44]","[932.527, -531.202, 1927.76]","[841.739, -830.69, 1685.91]","[853.33, -1241.9, 1708.77]","[664.842, -230.511, 1983.57]","[724.477, -158.752, 1932.89]","[813.788, 30.1049, 2209.28]","[0, 0, 0]"
35,31.25,2,145,"[-211.233, 230.093, 1862.25]","[-253.794, 60.3722, 1802.11]","[-284.519, 63.9368, 1651.67]","[-290.939, -142.191, 1482.89]","[-186.764, -384.692, 1347.49]","[-189.927, 21.7385, 1975.12]","[-23.7575, -105.337, 1931.02]","[86.8222, -146.766, 1932.19]","[-228.504, -151.732, 1712.27]","[-225.211, -332.032, 1640.75]","[-322.752, -388.106, 1569.55]","[-314.642, -785.484, 1578.64]","[-314.642, -1159.29, 1578.64]","[-114.781, -398.865, 1641.85]","[-110.01, -798.198, 1653.08]","[-110.01, -1172.01, 1653.08]","[-204.141, -344.275, 1370.06]","[68.7465, -137.581, 1931.99]","[-262.531, 133.65, 1833.16]","[0, 0, 0]"
35,31.25,2,44,"[765.141, 86.3843, 2299.16]","[806.455, -52.8347, 2184.29]","[687.153, -127.796, 2173.9]","[606.372, -293.254, 2129.65]","[527.961, -301.058, 2009.33]","[853.508, -24.1194, 2037.4]","[939.073, -263.14, 1970.12]","[664.156, -190.967, 1927.42]","[814.992, -256.947, 2060.8]","[831.524, -428.377, 2006.88]","[761.581, -582.162, 1996.82]","[757.898, -995.697, 1996.96]","[757.898, -1369.07, 1996.96]","[924.953, -540.575, 1924.99]","[853.285, -860.581, 1705.77]","[865.215, -1264.38, 1725.91]","[540.387, -300.072, 2029.38]","[709.976, -202.968, 1934.54]","[803.602, 15.5346, 2225.64]","[0, 0, 0]"
36,30.303,2,145,"[-194.309, 227.89, 1865.54]","[-239.698, 59.0024, 1808.45]","[-278.168, 61.4265, 1656.17]","[-290.315, -146.769, 1490.33]","[-180.449, -381.463, 1347.05]","[-150.986, 24.6686, 1967.3]","[62.786, -60.8777, 2006.04]","[232.886, 45.7118, 2037.53]","[-216.511, -156.326, 1727.43]","[-214.6, -337.215, 1657.52]","[-308.682, -388.322, 1583.83]","[-300.307, -785.839, 1592.44]","[-300.307, -1159.56, 1592.44]","[-105.792, -402.15, 1655.98]","[-100.875, -801.832, 1663.45]","[-100.875, -1175.55, 1663.45]","[-198.765, -342.344, 1370.93]","[204.72, 28.992, 2032.28]","[-247.723, 133.562, 1836.51]","[0, 0, 0]"
36,30.303,2,44,"[742.004, 46.5159, 2324.11]","[796.044, -70.9199, 2197.53]","[688.735, -145.476, 2156.41]","[628.485, -368.925, 2163.23]","[428.918, -349.414, 2055.08]","[832.354, -56.1179, 2053.63]","[921.929, -290.402, 1974.86]","[640.327, -248.018, 1926.84]","[806.794, -271.736, 2068.71]","[824.182, -443.664, 2011.51]","[756.995, -603.875, 1999.89]","[753.624, -1017.53, 2002.59]","[753.624, -1390.93, 2002.59]","[916.669, -558.607, 1922.73]","[864.406, -893.67, 1719.49]","[872.171, -1290.86, 1727.72]","[461.908, -352.8, 2073.1]","[687.261, -255.067, 1934.84]","[792.447, -3.66052, 2240.67]","[0, 0, 0]"
37,30.303,2,145,"[-177.547, 226.705, 1869.04]","[-223.879, 57.7503, 1813.36]","[-279.92, 57.3717, 1662.93]","[-291.092, -149.778, 1499.25]","[-178.994, -380.461, 1351.07]","[-122.098, 17.1536, 1956.97]","[114.186, -44.3969, 2035.23]","[313.277, 142.431, 2066.89]","[-204.444, -160.207, 1740.4]","[-204.165, -340.102, 1673.23]","[-296.098, -389.322, 1599.26]","[-289.267, -787.358, 1608.55]","[-289.267, -1160.98, 1608.55]","[-98.3032, -408.199, 1666.61]","[-94.6573, -809.873, 1671.31]","[-94.6573, -1183.49, 1671.31]","[-197.676, -342.008, 1375.77]","[280.123, 111.489, 2061.61]","[-230.618, 133.408, 1838.69]","[0, 0, 0]"
37,30.303,2,44,"[721.536, 0.355902, 2340.76]","[786.424, -93.5297, 2209.09]","[684.375, -167.818, 2154.46]","[636.172, -423.058, 2183.79]","[381.271, -373.555, 2078.36]","[817.796, -89.6491, 2068.53]","[895.715, -326.108, 1975.38]","[611.853, -290.653, 1920.59]","[800.066, -293.284, 2078.75]","[818.148, -464.18, 2019.12]","[753.26, -627.236, 2013.68]","[751.063, -1039.66, 2025.06]","[751.063, -1413.09, 2025.06]","[910.119, -578.418, 1922.62]","[837.229, -808.321, 1638.32]","[809.74, -1103.75, 1563.93]","[423.734, -381.857, 2095.93]","[659.163, -296.562, 1929.72]","[781.856, -26.6318, 2252.74]","[0, 0, 0]"
38,30.303,2,145,"[-163.406, 226.621, 1871.54]","[-207.219, 56.2126, 1816.37]","[-278.439, 54.6155, 1667.51]","[-293.119, -153.773, 1508.75]","[-181.21, -385.336, 1358.03]","[-93.2112, 9.34631, 1944.23]","[152.098, -32.5156, 2039.5]","[351.52, 197.899, 2072.48]","[-191.627, -163.564, 1748.93]","[-193.002, -341.761, 1684.32]","[-283.574, -391.342, 1611.45]","[-276.751, -790.003, 1617.63]","[-276.751, -1163.51, 1617.63]","[-91.7226, -416.548, 1673.85]","[-88.6105, -819.502, 1676.28]","[-88.6105, -1193.01, 1676.28]","[-199.859, -346.736, 1383.15]","[318.258, 159.368, 2066.98]","[-212.634, 132.587, 1839.82]","[0, 0, 0]"
38,30.303,2,44,"[723.705, 33.7852, 2283.73]","[777.334, -119.67, 2219.86]","[676.947, -194.184, 2157.44]","[636.235, -461.77, 2195.08]","[363.456, -394.004, 2088.55]","[802.409, -124.628, 2079.79]","[869.954, -357.176, 1967.09]","[585.165, -321.068, 1912.75]","[794.619, -319.577, 2090.15]","[813.889, -490.845, 2028.46]","[751.324, -655.158, 2028.86]","[750.74, -1070.25, 2039.5]","[750.74, -1443.71, 2039.5]","[903.939, -606.179, 1924.17]","[900.647, -1022.14, 1925.82]","[900.647, -1395.6, 1925.82]","[408.987, -405.314, 2106.31]","[632.628, -327.091, 1921.81]","[771.544, -52.7235, 2263.3]","[0, 0, 0]"
39,30.303,2,145,"[-152.549, 226.096, 1872.61]","[-190.975, 53.2464, 1817.25]","[-277.726, 49.8372, 1672.75]","[-297.044, -158.852, 1515.64]","[-183.879, -392.783, 1363.9]","[-74.2212, 0.192437, 1938.94]","[176.955, -11.421, 2032.84]","[375.16, 233.285, 2068.18]","[-179.121, -167.961, 1753.34]","[-181.573, -344.253, 1690.53]","[-273.202, -392.749, 1620.33]","[-268.188, -790.563, 1624.03]","[-268.188, -1163.98, 1624.03]","[-81.7824, -420.101, 1683.98]","[-75.5008, -818.234, 1689.69]","[-75.5008, -1191.65, 1689.69]","[-202.738, -353.79, 1389.19]","[342.091, 192.304, 2062.29]","[-195.092, 130.064, 1839.45]","[0, 0, 0]"
39,30.303,2,44,"[708.938, 1.00105, 2294.27]","[768.0, -149.762, 2230.6]","[665.56, -219.3, 2161.41]","[625.902, -488.368, 2205.53]","[359.242, -408.496, 2084.1]","[781.71, -154.362, 2088.47]","[861.04, -376.795, 1963.0]","[574.533, -351.084, 1911.46]","[790.131, -352.007, 2100.63]","[811.276, -524.251, 2037.37]","[747.738, -687.309, 2037.93]","[745.529, -1104.72, 2042.25]","[745.529, -1478.23, 2042.25]","[899.369, -641.437, 1927.84]","[897.367, -1062.14, 1930.89]","[897.367, -1435.65, 1930.89]","[403.738, -421.809, 2104.34]","[622.282, -355.376, 1920.05]","[760.671, -82.7312, 2273.68]","[0, 0, 0]"
40,30.303,2,145,"[-145.41, 224.458, 1872.51]","[-176.967, 48.5858, 1816.59]","[-275.102, 45.0171, 1675.72]","[-303.506, -165.632, 1522.44]","[-191.688, -403.366, 1370.14]","[-56.4195, -6.54333, 1935.6]","[195.833, 3.09566, 2026.15]","[392.931, 249.742, 2061.41]","[-169.786, -174.197, 1754.9]","[-172.884, -348.697, 1693.04]","[-265.928, -393.794, 1624.55]","[-263.21, -791.199, 1624.9]","[-263.21, -1164.54, 1624.9]","[-73.1963, -423.434, 1690.42]","[-68.4706, -821.718, 1692.97]","[-68.4706, -1195.06, 1692.97]","[-210.323, -363.742, 1395.52]","[360.053, 208.471, 2055.53]","[-179.458, 125.689, 1837.94]","[0, 0, 0]"
40,30.303,2,44,"[697.096, -30.7245, 2304.13]","[759.643, -180.931, 2240.57]","[655.18, -243.738, 2164.96]","[604.101, -507.358, 2217.42]","[365.669, -405.895, 2068.63]","[761.761, -180.373, 2096.08]","[857.03, -393.404, 1965.64]","[569.82, -369.694, 1917.51]","[786.901, -384.91, 2109.79]","[810.095, -558.123, 2044.95]","[744.391, -715.452, 2045.26]","[742.506, -1128.25, 2048.48]","[742.506, -1501.82, 2048.48]","[895.394, -673.224, 1932.57]","[893.618, -1089.06, 1936.02]","[893.618, -1462.62, 1936.02]","[405.39, -422.816, 2093.43]","[617.687, -373.651, 1925.54]","[750.704, -113.98, 2283.49]","[0, 0, 0]"
41,30.303,2,145,"[-139.889, 221.565, 1871.56]","[-165.298, 42.7122, 1814.67]","[-273.702, 40.4792, 1678.54]","[-309.51, -171.707, 1527.69]","[-208.566, -413.167, 1372.28]","[-40.4986, -11.0656, 1933.42]","[211.033, 9.0042, 2022.15]","[404.501, 254.59, 2052.74]","[-163.264, -182.104, 1754.71]","[-166.563, -355.155, 1693.35]","[-260.87, -395.033, 1625.82]","[-259.38, -792.585, 1624.67]","[-259.38, -1165.87, 1624.67]","[-65.5498, -425.591, 1694.57]","[-61.6097, -823.052, 1695.69]","[-61.6097, -1196.34, 1695.69]","[-225.387, -372.922, 1398.18]","[372.238, 213.551, 2047.64]","[-166.008, 120.027, 1835.3]","[0, 0, 0]"
41,30.303,2,44,"[669.81, -80.3026, 2313.35]","[745.71, -220.653, 2248.84]","[637.886, -273.785, 2162.35]","[551.056, -523.459, 2214.79]","[395.551, -359.677, 2045.03]","[743.027, -206.128, 2099.72]","[842.997, -419.811, 1973.19]","[557.624, -379.721, 1929.44]","[783.289, -421.821, 2114.93]","[810.153, -595.054, 2047.27]","[739.448, -731.246, 2053.48]","[736.204, -1133.56, 2057.9]","[736.204, -1507.18, 2057.9]","[892.795, -699.023, 1936.24]","[891.976, -1109.31, 1938.38]","[891.976, -1482.93, 1938.38]","[421.389, -387.023, 2073.33]","[605.186, -386.4, 1936.74]","[733.422, -154.841, 2292.65]","[0, 0, 0]"
